x	y	z	DNA Damage/Telomere Stress Induced Senescence
228	260	32	1
235	260	32	1
238	260	32	1
242	260	32	2
243	260	32	1
246	260	32	1
216	261	32	1
239	261	32	1
242	261	32	1
244	261	32	2
246	261	32	1
215.5	262.5	32.5	1
221	262.666666666667	33	1
227	262	32	1
236	262	32	1
189	263	32	1
221	263	32	1
222	263	32	1
224	263	32	1
233	263	32	1
250	263	32	1
188	264	32	1
202	264	32	1
212	264	32	1
217	264	32	1
236	264	32	2
238	264	32	1
239	264	32	1
240	264	32	1
245	264	32	2
232	265	32	1
234	265	32	1
251	265	32	2
184	266	32	1
216	266	32	1
217	266	32	1
230	266	32	1
237	266	32	1
247	266	32	1
183	267	32	1
211	267	32	1
216	267	32	1
225	267	32	1
231	267	32	1
238	267	32	1
245.5	267.5	32.5	1
248	267	32	1
186	268	32	1
195	268	32	1
206	268	32	1
211	268	32	1
212	268	32	1
213	268	32	1
224	268	32	1
246	268	32	1
253	268	32	1
175	269	32	1
181	269	32	1
210	269	32	1
215	269	32	1
218	269	32	1
222	269	32	1
223	269	32	1
238	269	32	2
242	269	32	1
246	269	32	1
172	270	32	1
207	270	32	1
210	270	32	1
222	270	32	1
247	270	32	1
250	270	32	1
173	271	32	1
176	271	32	1
211	271	32	1
214	271	32	1
235	271	32	1
241	271	32	1
183	272	32	1
202	272	32	1
210	272	32	2
225	272	32	1
228	272	32	1
174	273	32	1
181	273	32	1
209	273	32	1
234	273	32	1
236	273	32	1
239	273	32	1
245	273	32	1
182	274	32	1
203	274	32	1
209	274	32	1
238	274	32	1
243	274	32	1
236	275	32	1
237	275	32	3
247	275	32	1
174	276	32	1
204	276	32	1
215	276	32	1
228	276	32	1
242	276	32	1
175	277	32	1
210	277	32	1
245	277	32	1
249	277	32	1
254	277	32	1
176	278	32	2
203	278	32	1
206	278	32	2
234	278	32	1
245	278	32	1
181	279	32	1
239	279	32	1
242	279	32	2
246	279	32	3
250	279	32	1
175	280	32	1
189	280	32	1
222	280	32	1
223	280	32	1
246	280	32	1
251	280	32	1
173	281	32	1
176	281	32	1
186	281	32	1
226	281	32	1
231	281	32	1
240	281	32	1
242	281	32	2
248	281	32	1
251	281	32	1
178	282	32	1
221	282	32	1
222	282	32	1
223	282	32	1
231	282	32	2
237	282	32	1
247	282	32	2
248	282	32	1
253	282	32	1
256	282	32	1
173	283	32	1
178	283	32	1
223	283	32	1
230	283	32	1
240	283	32	1
244	283	32	1
181	284	32	1
220	284	32	1
222	284	32	2
234	284	32	1
251	284	32	1
254	284	32	1
182	285	32	1
215	285	32	1
219	285	32	1
220	285	32	1
225	285	32	2
229	285	32	1
234	285	32	1
241	285	32	1
244	285	32	1
249	285	32	1
175	286	32	1
177	286	32	1
206	286	32	1
218	286	32	1
219	286	32	2
229	286	32	1
237	286	32	1
242	286	32	2
256	286	32	1
207	287	32	1
208	287	32	2
219	287	32	1
227	287	32	2
230	287	32	1
242	287	32	1
244	287	32	1
248	287	32	1
249	287	32	1
250	287	32	1
255	287	32	1
256	287	32	1
222	288	32	1
223	288	32	1
226	288	32	1
231	288	32	1
236	288	32	1
237	288	32	1
239	288	32	1
240	288	32	2
243	288	32	1
244	288	32	1
247	288	32	1
224	289	32	1
229	289	32	1
233	289	32	1
237	289	32	1
243	289	32	1
248	289	32	2
256	289	32	1
