x	y	z	NEP/NS2 Interacts with the Cellular Export Machinery
210	294	30	1
227	294	30	1
238	294	30	2
240	294	30	1
241	294	30	1
244	294	30	1
245	294	30	2
249	294	30	2
220	295	30	1
224	295	30	1
228	295	30	2
229	295	30	2
234	295	30	1
244	295	30	2
247	295	30	1
252	295	30	1
257	295	30	1
232	296	30	1
234	296	30	1
235	296	30	2
241	296	30	1
243	296	30	1
244	296	30	1
246	296	30	1
247	296	30	1
252	296	30	1
227	297	30	1
229	297	30	1
238	297	30	2
243	297	30	1
246	297	30	1
248	297	30	1
220	298	30	1
225	298	30	1
232	298	30	1
239	298	30	1
241	298	30	2
242	298	30	1
248	298	30	1
249	298	30	1
227	299	30	1
231	299	30	1
240	299	30	1
241	299	30	2
244	299	30	1
248	299	30	2
252	299	30	1
225	300	30	1
227	300	30	1
237	300	30	1
244	300	30	1
246	300	30	1
247	300	30	3
249	300	30	1
223	301	30	1
226	301	30	1
227	301	30	1
230	301	30	1
237	301	30	1
239	301	30	1
241	301	30	2
242	301	30	1
243	301	30	2
246	301	30	1
221	302	30	1
223	302	30	1
229	302	30	1
231	302	30	1
236	302	30	2
237	302	30	1
248	302	30	1
223	303	30	1
225	303	30	1
244	303	30	1
246	303	30	1
220	304	30	1
233	304	30	1
237	304	30	1
240	304	30	1
237	305	30	1
242	305	30	1
226	250	31	1
235	250	31	1
229	251	31	1
226	252	31	1
229	252	31	1
239	252	31	1
225	253	31	3
232	253	31	2
233	253	31	1
237	253	31	1
226	254	31	2
229	254	31	1
232	254	31	1
226	255	31	1
230	255	31	1
234	255	31	2
237	255	31	1
238	255	31	1
239	256	31	1
214	257	31	4
216	257	31	1
236	257	31	2
237	257	31	1
238	257	31	1
239	257	31	1
240	257	31	1
188	258	31	2
205	258	31	1
215	258	31	1
230	258	31	1
239	258	31	1
206	259	31	3
218	259	31	1
219	259	31	1
231	259	31	1
232	259	31	1
237	259	31	2
242	259	31	1
186	260	31	1
190	260	31	1
191	260	31	3
195	260	31	1
212	260	31	1
218	260	31	1
228	260	31	3
234	260	31	1
238	260	31	2
242	260	31	2
244	260	31	2
245	260	31	1
246	260	31	1
208	261	31	1
226	261	31	1
228	261	31	1
231	261	31	1
234	261	31	2
243	261	31	1
244	261	31	1
246	261	31	1
193	262	31	1
194	262	31	1
195	262	31	1
207	262	31	1
211	262	31	2
217	262	31	1
218	262	31	1
221	262	31	1
223	262	31	1
225	262	31	1
226	262	31	2
229	262	31	1
236	262	31	1
240	262	31	1
185	263	31	1
189	263	31	1
193	263	31	1
197	263	31	1
217	263	31	1
220	263	31	2
221	263	31	1
232	263	31	1
233	263	31	1
236	263	31	1
245	263	31	3
184	264	31	1
187	264	31	1
190	264	31	1
204	264	31	1
217	264	31	1
218	264	31	1
221	264	31	1
223	264	31	1
226	264	31	1
227	264	31	1
228	264	31	2
231	264	31	1
237	264	31	1
245	264	31	1
246	264	31	2
248	264	31	1
185	265	31	2
196	265	31	1
223	265	31	1
229	265	31	1
231	265	31	2
232	265	31	1
235	265	31	1
243	265	31	1
245	265	31	2
246	265	31	1
250	265	31	1
189	266	31	1
193	266	31	1
197	266	31	1
228	266	31	1
244	266	31	1
245	266	31	2
246	266	31	1
193	267	31	1
194	267	31	2
197	267	31	1
216	267	31	1
217	267	31	1
232	267	31	1
233	267	31	1
235	267	31	1
236	267	31	1
241	267	31	1
242	267	31	1
244	267	31	1
195	268	31	1
197	268	31	4
198	268	31	1
215	268	31	1
216	268	31	1
220	268	31	1
232	268	31	2
234	268	31	2
240	268	31	1
182	269	31	2
188	269	31	1
193	269	31	2
194	269	31	2
198	269	31	1
199	269	31	1
206	269	31	1
209	269	31	1
214	269	31	2
231	269	31	1
232	269	31	2
234	269	31	1
240	269	31	1
246	269	31	1
248	269	31	1
249	269	31	1
178	270	31	1
183	270	31	1
185	270	31	1
198	270	31	1
212	270	31	1
216	270	31	1
217	270	31	1
234	270	31	1
239	270	31	1
240	270	31	1
247	270	31	1
250	270	31	1
177	271	31	1
184	271	31	1
199	271	31	1
200	271	31	1
203	271	31	1
204	271	31	3
212	271	31	1
214	271	31	1
215	271	31	1
216	271	31	1
217	271	31	2
225	271	31	2
231	271	31	2
238	271	31	2
241	271	31	1
244	271	31	2
245	271	31	1
251	271	31	1
212	272	31	1
213	272	31	2
215	272	31	1
230	272	31	1
234	272	31	3
235	272	31	2
237	272	31	1
251	272	31	1
176	273	31	1
183	273	31	1
184	273	31	1
212	273	31	2
215	273	31	1
235	273	31	1
238	273	31	1
239	273	31	2
246	273	31	1
175	274	31	1
180	274	31	1
185	274	31	1
211	274	31	1
214	274	31	1
225	274	31	1
230	274	31	1
239	274	31	1
240	274	31	2
241	274	31	1
243	274	31	1
244	274	31	1
247	274	31	1
250	274	31	2
211	275	31	2
231	275	31	1
243	275	31	1
184	276	31	2
198	276	31	1
205	276	31	1
226	276	31	1
238	276	31	5
240	276	31	1
241	276	31	1
243	276	31	2
246	276	31	1
252	276	31	1
204	277	31	1
205	277	31	1
233	277	31	1
236	277	31	1
239	277	31	1
241	277	31	1
178	278	31	1
180	278	31	1
203	278	31	1
224	278	31	1
236	278	31	1
238	278	31	1
242	278	31	1
245	278	31	2
246	278	31	1
206	279	31	1
208	279	31	2
238	279	31	1
242	279	31	1
243	279	31	1
244	279	31	1
247	279	31	1
176	280	31	1
208	280	31	1
221	280	31	1
226	280	31	1
236	280	31	1
241	280	31	1
246	280	31	3
251	280	31	1
179	281	31	1
181	281	31	1
184	281	31	1
206	281	31	2
210	281	31	1
231	281	31	1
234	281	31	1
236	281	31	1
245	281	31	1
251	281	31	2
254	281	31	2
178	282	31	1
219	282	31	1
221	282	31	1
231	282	31	1
232	282	31	1
233	282	31	1
238	282	31	1
240	282	31	1
244	282	31	1
245	282	31	1
246	282	31	2
248	282	31	2
254	282	31	1
176	283	31	3
182	283	31	1
184	283	31	3
208	283	31	1
209	283	31	1
218	283	31	1
219	283	31	1
221	283	31	1
230	283	31	1
235	283	31	1
241	283	31	1
253	283	31	3
175	284	31	1
176	284	31	1
177	284	31	1
179	284	31	1
180	284	31	1
219	284	31	1
224	284	31	1
248	284	31	1
250	284	31	1
173	285	31	1
177	285	31	1
178	285	31	1
206	285	31	1
222	285	31	1
223	285	31	1
229	285	31	1
231	285	31	1
234	285	31	1
236	285	31	1
240	285	31	1
244	285	31	1
250	285	31	1
252	285	31	1
256	285	31	2
204	286	31	1
218	286	31	1
219	286	31	2
220	286	31	1
222	286	31	1
231	286	31	1
237	286	31	1
239	286	31	1
240	286	31	1
244	286	31	1
246	286	31	1
249	286	31	1
252	286	31	2
187	287	31	2
220	287	31	2
221	287	31	2
223	287	31	2
227	287	31	1
228	287	31	1
231	287	31	1
234	287	31	1
240	287	31	1
241	287	31	1
246	287	31	1
248	287	31	1
250	287	31	2
251	287	31	1
252	287	31	2
255	287	31	1
225	288	31	1
228	288	31	2
236	288	31	1
