x	y	z	RNA Polymerase II Promoter Escape
212	271	30	1
225	271	30	3
234	271	30	2
238	271	30	1
244	271	30	1
249	271	30	2
179	272	30	1
197	272	30	1
224	272	30	1
236	272	30	1
239	272	30	1
247	272	30	2
181	273	30	1
183	273	30	1
203	273	30	1
204	273	30	1
206	273	30	2
213	273	30	2
231	273	30	1
232	273	30	1
233	273	30	1
236	273	30	1
240	273	30	2
246	273	30	1
180	274	30	1
182	274	30	1
185	274	30	1
203	274	30	1
233	274	30	1
182	275	30	1
184	275	30	1
211	275	30	1
233	275	30	1
235	275	30	1
237	275	30	1
240	275	30	1
244	275	30	1
249	275	30	1
205	276	30	1
235	276	30	2
239	276	30	2
240	276	30	1
246	276	30	1
249	276	30	1
250	276	30	3
253	276	30	2
174	277	30	1
245	277	30	1
249	277	30	1
251	277	30	1
175	278	30	1
201	278	30	1
203	278	30	1
206	278	30	2
226	278	30	1
230	278	30	1
235	278	30	1
238	278	30	1
239	278	30	2
243	278	30	1
246	278	30	2
247	278	30	1
249	278	30	1
250	278	30	2
206	279	30	1
207	279	30	1
235	279	30	1
237	279	30	1
239	279	30	2
243	279	30	1
245	279	30	1
246	279	30	1
247	279	30	2
250	279	30	1
251	279	30	1
176	280	30	1
178	280	30	1
219	280	30	1
226	280	30	1
233	280	30	2
236	280	30	1
237	280	30	1
238	280	30	1
239	280	30	1
241	280	30	3
244	280	30	1
245	280	30	1
246	280	30	1
251	280	30	3
252	280	30	1
218	281	30	1
233	281	30	1
234	281	30	1
240	281	30	1
243	281	30	2
244	281	30	1
245	281	30	1
246	281	30	1
249	281	30	2
251	281	30	2
252	281	30	1
174	282	30	1
181	282	30	1
221	282	30	1
222	282	30	1
232	282	30	1
233	282	30	1
237	282	30	1
240	282	30	1
244	282	30	1
245	282	30	3
250	282	30	1
251	282	30	1
253	282	30	1
179	283	30	1
202	283	30	2
209	283	30	1
215	283	30	1
221	283	30	1
232	283	30	1
234	283	30	1
236	283	30	1
238	283	30	1
239	283	30	1
240	283	30	1
241	283	30	1
246	283	30	1
249	283	30	1
250	283	30	1
