x	y	z	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
234	296	31	1
235	296	31	1
240	296	31	1
248	296	31	1
250	296	31	1
252	296	31	1
254	296	31	1
227	297	31	1
223	298	31	1
238	298	31	1
247	298	31	1
252	298	31	1
253	298	31	1
221	299	31	1
236	299	31	1
246	299	31	1
248	299	31	1
218	300	31	1
226	300	31	1
229	300	31	1
231	300	31	1
232	300	31	1
235	300	31	1
236	300	31	1
238	300	31	1
248	300	31	2
216	301	31	1
226	301	31	1
227	301	31	1
224	302	31	1
229	302	31	1
235	302	31	1
242	302	31	1
245	302	31	1
223	303	31	1
224	303	31	1
234	303	31	2
235	303	31	1
237	303	31	1
245	303	31	1
244	304	31	1
223	305	31	1
224	305	31	1
234	305	31	1
238	305	31	1
223	306	31	1
236	306	31	1
231	250	32	1
229	251	32	1
214	252	32	1
216	252	32	2
226	252	32	1
215	253	32	1
216	253	32	1
217	253	32	1
227	253	32	1
232	253	32	1
215	254	32	1
223	254	32	1
225	254	32	1
226	254	32	1
230	254	32	1
214	255	32	2
219	255	32	1
224	255	32	1
226	255	32	1
228	255	32	1
236	255	32	1
210	256	32	1
219	256	32	1
234	256	32	1
236	256	32	1
240	256	32	1
193	257	32	1
203	257	32	1
208	257	32	1
218	257	32	1
232	257	32	1
238	257	32	1
182	258	32	1
192	258	32	1
217	258	32	1
218	258	32	1
219	258	32	1
231	258	32	1
237	258	32	1
239	258	32	1
188	259	32	2
193	259	32	1
201	259	32	1
207	259	32	1
209	259	32	1
213	259	32	1
216	259	32	1
217	259	32	1
219	259	32	1
227	259	32	1
230	259	32	1
245	259	32	2
182	260	32	1
210	260	32	1
220	260	32	2
222	260	32	1
237	260	32	1
238	260	32	1
239	260	32	1
240	260	32	2
243	260	32	1
246	260	32	1
248	260	32	1
186	261	32	1
195	261	32	1
216	261	32	1
217	261	32	1
219	261	32	1
224	261	32	1
226	261	32	1
230	261	32	1
237	261	32	1
242	261	32	1
244	261	32	3
189	262	32	2
196	262	32	1
203	262	32	1
209	262	32	3
210	262	32	1
216	262	32	1
221	262.666666666667	33	1
225	262	32	1
238	262	32	1
244	262	32	1
248	262	32	1
250	262	32	1
184	263	32	1
189	263	32	1
194	263	32	1
198	263	32	1
220	263	32	2
224	263	32	1
226	263	32	1
235	263	32	1
249	263	32	1
251	263	32	1
189	264	32	1
190	264	32	1
191	264	32	1
192	264	32	1
202	264	32	1
210	264	32	1
216	264	32	1
221	264	32	1
230	264	32	1
231	264	32	1
244	264	32	1
247	264	32	1
250	264	32	1
176	265	32	1
188	265	32	1
191	265	32	1
193	265	32	1
198	265	32	1
203	265	32	1
206	265	32	1
212	265	32	1
217	265	32	2
232	265	32	1
235	265	32	2
239	265	32	1
244	265	32	3
178	266	32	1
196	266	32	1
197	266	32	1
241	266	32	1
182	267	32	1
184	267	32	1
186	267	32	1
192	267	32	2
196	267	32	2
197	267	32	1
205	267	32	1
211	267	32	1
214	267	32	1
219	267	32	1
225	267	32	2
230	267	32	1
233	267	32	2
243	267	32	1
248	267	32	1
249	267	32	1
183	268	32	1
186	268	32	1
193	268	32	1
195	268	32	1
206	268	32	1
212	268	32	1
216	268	32	1
225	268	32	1
228	268	32	1
245	268	32	1
253	268	32	1
176	269	32	1
184	269	32	1
204	269	32	1
209	269	32	1
215	269	32	1
241	269	32	1
251	269	32	1
174	270	32	1
201	270	32	1
227	270	32	1
232	270	32	2
233	270	32	1
234	270	32	1
248	270	32	2
180	271	32	1
186	271	32	1
206	271	32	1
208	271	32	1
212	271	32	1
214	271	32	1
234	271	32	1
249	271	32	1
176	272	32	1
183	272	32	1
185	272	32	2
202	272	32	1
205	272	32	1
213	272	32	1
227	272	32	1
228	272	32	1
235	272	32	1
245	272	32	1
248	272	32	1
249	272	32	1
255	272	32	1
174	273	32	1
185	273	32	1
204	273	32	1
205	273	32	1
206	273	32	1
208	273	32	1
211	273	32	1
215	273	32	1
