x	y	z	NoRC negatively regulates rRNA expression
234	255	30	2
204	256	30	2
233	256	30	1
215	257	30	1
229	257	30	1
236	257	30	1
239	257	30	1
240	257	30	1
227	258	30	1
229	258	30	1
231	258	30	1
237	258	30	1
239	258	30	2
175	259	30	1
189	259	30	1
205	259	30	1
209	259	30	2
216	259	30	1
220	259	30	2
222	259	30	1
227	259	30	1
231	259	30	1
239	259	30	1
184	260	30	1
186	260	30	1
206	260	30	2
212	260	30	1
217	260	30	1
227	260	30	2
232	260	30	1
235	260	30	1
238	260	30	1
184	261	30	1
199	261	30	1
209	261	30	2
211	261	30	1
215	261	30	1
216	261	30	4
218	261	30	1
227	261	30	1
230	261	30	1
231	261	30	1
232	261	30	1
236	261	30	2
239	261	30	2
186	262	30	1
193	262	30	1
209	262	30	3
219	262	30	1
222	262	30	1
226	262	30	2
227	262	30	2
240	262	30	1
245	262	30	1
248	262	30	1
179	263	30	2
182	263	30	1
186	263	30	1
193	263	30	1
216	263	30	2
227	263	30	1
230	263	30	1
232	263	30	2
247	263	30	4
248	263	30	1
249	263	30	1
211	264	30	1
238	264	30	1
240	264	30	1
241	264	30	1
245	264	30	1
250	264	30	2
192	265	30	1
196	265	30	1
197	265	30	1
200	265	30	1
208	265	30	1
211	265	30	2
228	265	30	1
232	265	30	1
233	265	30	1
234	265	30	1
236	265	30	1
238	265	30	1
239	265	30	2
242	265	30	3
244	265	30	1
246	265	30	1
247	265	30	1
184	266	30	1
194	266	30	1
197	266	30	4
211	266	30	1
212	266	30	1
228	266	30	1
233	266	30	3
247	266	30	1
249	266	30	2
182	267	30	1
192	267	30	1
194	267	30	1
198	267	30	1
219	267	30	1
229	267	30	1
231	267	30	1
232	267	30	1
235	267	30	1
236	267	30	1
240	267	30	2
244	267	30	1
245	267	30	1
246	267	30	1
247	267	30	1
248	267	30	3
249	267	30	2
250	267	30	2
188	268	30	1
189	268	30	2
196	268	30	1
205	268	30	1
206	268	30	1
211	268	30	1
223	268	30	2
226	268	30	3
228	268	30	1
241	268	30	1
243	268	30	1
244	268	30	1
248	268	30	1
249	268	30	1
177	269	30	1
182	269	30	4
193	269	30	1
197	269	30	2
204	269	30	1
214	269	30	1
215	269	30	1
216	269	30	1
240	269	30	2
244	269	30	3
250	269	30	1
186	270	30	1
187	270	30	1
197	270	30	3
207	270	30	2
214	270	30	1
217	270	30	2
223	270	30	1
231	270	30	1
232	270	30	1
233	270	30	1
234	270	30	1
235	270	30	2
244	270	30	2
250	270	30	1
176	271	30	1
183	271	30	1
188	271	30	1
194	271	30	1
200	271	30	1
201	271	30	1
207	271	30	1
211	271	30	1
229	271	30	2
234	271	30	1
238	271	30	2
239	271	30	1
243	271	30	1
244	271	30	2
184	272	30	1
223	272	30	3
233	272	30	1
235	272	30	1
238	272	30	1
242	272	30	1
244	272	30	1
245	272	30	2
181	273	30	1
183	273	30	2
204	273	30	2
208	273	30	1
234	273	30	1
239	273	30	2
241	273	30	1
177	274	30	2
180	274	30	1
181	274	30	1
203	274	30	1
212	274	30	1
214	274	30	1
239	274	30	1
241	274	30	2
244	274	30	1
247	274	30	1
179	275	30	1
212	275	30	1
213	275	30	1
235	275	30	1
239	275	30	2
244	275	30	2
179	276	30	1
207	276	30	1
233	276	30	1
238	276	30	1
240	276	30	1
241	276	30	1
243	276	30	1
205	277	30	1
232	277	30	1
237	277	30	1
238	277	30	2
243	277	30	1
249	277	30	2
251	277	30	1
204	278	30	1
236	278	30	1
237	278	30	1
247	278	30	1
248	278	30	1
250	278	30	1
207	279	30	2
221	279	30	3
235	279	30	2
236	279	30	1
239	279	30	2
240	279	30	1
247	279	30	1
249	279	30	1
250	279	30	1
175	280	30	5
176	280	30	1
178	280	30	2
206	280	30	1
219	280	30	1
226	280	30	1
232	280	30	1
233	280	30	1
237	280	30	1
239	280	30	1
242	280	30	1
244	280	30	4
245	280	30	1
179	281	30	1
234	281	30	1
240	281	30	1
244	281	30	1
245	281	30	1
246	281	30	1
247	281	30	1
172	282	30	1
182	282	30	2
220	282	30	1
222	282	30	1
223	282	30	2
232	282	30	2
236	282	30	2
237	282	30	1
238	282	30	1
240	282	30	1
245	282	30	2
247	282	30	2
248	282	30	1
254	282	30	1
256	282	30	1
205	283	30	1
219	283	30	1
220	283	30	1
221	283	30	1
232	283	30	2
241	283	30	2
250	283	30	1
251	283	30	2
252	283	30	2
257	283	30	1
177	284	30	1
180	284	30	1
224	284	30	1
225	284	30	2
238	284	30	1
240	284	30	2
242	284	30	1
250	284	30	1
251	284	30	1
252	284	30	1
256	284	30	2
258	284	30	1
220	285	30	1
224	285	30	1
225	285	30	1
226	285	30	1
232	285	30	1
237	285	30	2
246	285	30	2
248	285	30	1
254	285	30	1
205	286	30	2
206	286	30	1
222	286	30	1
223	286	30	2
228	286	30	1
230	286	30	1
231	286	30	1
234	286	30	1
239	286	30	1
241	286	30	1
244	286	30	1
245	286	30	1
248	286	30	1
250	286	30	1
251	286	30	1
252	286	30	1
255	286	30	1
224	287	30	1
225	287	30	2
226	287	30	1
228	287	30	1
233	287	30	2
237	287.5	30.5	1
238.5	287.5	30.5	1
246	287	30	1
250	287	30	1
252	287	30	1
226	288	30	1
228	288	30	1
232	288	30	1
233	288	30	1
239	288	30	1
241	288	30	1
245	288	30	2
247	288	30	2
253	288	30	1
200	289	30	1
222	289	30	2
230	289	30	1
232	289	30	1
235	289	30	1
239	289	30	1
245	289	30	2
247	289	30	1
248	289	30	1
250	289	30	1
252	289	30	2
222	290	30	1
224	290	30	1
231	290	30	1
240	290	30	1
246	290	30	2
253	290	30	2
222	291	30	2
226	291	30	1
229	291	30	1
232	291	30	2
235	291	30	1
237	291	30	1
241	291	30	1
242	291	30	1
245	291	30	1
247	291	30	1
249	291	30	1
250	291	30	1
194	292	30	1
213	292	30	2
224	292	30	1
228	292	30	1
230	292	30	1
231	292	30	1
236	292	30	1
237	292	30	2
238	292	30	1
246	292	30	1
247	292	30	1
257	292	30	1
201	293	30	2
221	293	30	1
222	293	30	1
223	293	30	1
225	293	30	1
239	293	30	1
243	293	30	1
