x	y	z	Hemostasis
234	266	29	1
237	266	29	3
248	266	29	1
250	266	29	1
192	267	29	1
193	267	29	1
194	267	29	2
196	267	29	1
197	267	29	1
199	267	29	2
226	267	29	2
234	267	29	2
235	267	29	1
237	267	29	1
194	268	29	2
201	268	29	1
217	268	29	1
226	268	29	2
231	268	29	1
236	268	29	1
238	268	29	1
239	268	29	1
244	268	29	1
193	269	29	3
196	269	29	3
204	269	29	2
232	269	29	2
234	269	29	1
248	269	29	1
249	269	29	1
178	270	29	4
200	270	29	1
215	270	29	1
231	270	29	2
232	270	29	1
237	270	29	1
182	271	29	1
204	271	29	1
214	271	29	4
216	271	29	2
229	271	29	1
233	271	29	2
234	271	29	1
237	271	29	1
242	271	29	2
249	271	29	1
215	272	29	1
224	272	29	1
232	272	29	2
234	272	29	1
235	272	29	1
238	272	29	1
249	272	29	1
207	273	29	1
212	273	29	1
236	273	29	2
238	273	29	1
250	273	29	1
232	274	29	1
233	274	29	2
235	274	29	1
236	274	29	1
238	274	29	1
239	274	29	3
240	274	29	2
247	274	29	4
250	274	29	2
206	275	29	1
215	275	29	1
235	275	29	1
237	275	29	2
238	275	29	1
239	275	29	1
241	275	29	1
242	275	29	3
204	276	29	1
206	276	29	2
208	276	29	1
232	276	29	3
234	276	29	1
236	276	29	1
237	276	29	2
240	276	29	1
241	276	29	1
246	276	29	1
248	276	29	3
249	276	29	1
252	276	29	2
205	277	29	1
232	277	29	1
234	277	29	1
239	277	29	1
204	278	29	1
236	278	29	1
247	278	29	3
236	279	29	1
238	279	29	1
246	279	29	2
248	279	29	1
254	279	29	1
256	279	29	2
205	280	29	1
235	280	29	1
237	280	29	1
238	280	29	1
241	280	29	1
245	280	29	1
246	280	29	1
247	280	29	2
249	280	29	1
250	280	29	2
254	280	29	2
208	281	29	1
214	281	29	1
232	281	29	3
233	281	29	1
235	281	29	1
237	281	29	1
238	281	29	2
241	281	29	1
243	281	29	1
245	281	29	2
246	281	29	1
247	281	29	1
248	281	29	2
250	281	29	1
251	281	29	1
206	282	29	2
213	282	29	1
233	282	29	2
241	282	29	1
242	282	29	1
246	282	29	3
249	282	29	1
250	282	29	1
215	283	29	1
232	283	29	3
233	283	29	1
234	283	29	1
237	283	29	1
238	283	29	1
239	283	29	1
241	283	29	1
244	283	29	2
248	283	29	1
249	283	29	1
251	283	29	2
211	284	29	1
220	284	29	1
233	284	29	1
234	284	29	1
236	284	29	2
237	284	29	1
238	284	29	4
240	284	29	2
241	284	29	1
242	284	29	1
244	284	29	1
245	284	29	1
246	284	29	1
248	284	29	1
249	284	29	1
250	284	29	2
256	284	29	1
219	285	29	1
227	285	29	1
233	285	29	1
234	285	29	2
238	285	29	1
241	285	29	1
242	285	29	2
243	285	29	1
246	285	29	1
247	285	29	1
248	285	29	1
250	285	29	1
253	285	29	1
254	285	29	1
211	286	29	1
232	286	29	2
235	286	29	2
236	286	29	2
240	286	29	1
242	286	29	1
249	286	29	1
252	286	29	3
225	287	29	2
234	287	29	1
236	287	29	1
238	287	29	2
241	287	29	1
245	287	29	2
246	287	29	2
247	287	29	1
224	288	29	2
225	288	29	1
228	288	29	1
232	288	29	1
234	288	29	1
235	288	29	1
236	288	29	1
241	288	29	1
242	288	29	1
243	288	29	1
244	288	29	2
245	288	29	1
249	288	29	1
253	288	29	1
225	289	29	1
236	289	29	1
237	289	29	1
243	289	29	3
244	289	29	1
250	289	29	1
254	289	29	1
226	290	29	2
228	290	29	3
230	290	29	2
240	290	29	1
242	290	29	1
246	290	29	1
222	291	29	1
224	291	29	1
225	291	29	1
226	291	29	2
238	291	29	1
239	291	29	2
245	291	29	3
246	291	29	2
247	291	29	3
248	291	29	2
249	291	29	2
225	292	29	2
236	292	29	1
237	292	29	2
243	292	29	2
247	292	29	1
249	292	29	1
250	292	29	2
257	292	29	2
222	293	29	1
223	293	29	1
224	293	29	1
225	293	29	2
237	293	29	1
239	293	29	1
242	293	29	1
246	293	29	1
247	293	29	3
249	293	29	2
252	293	29	2
253	293	29	1
240	294	29	3
242	294	29	1
243	294	29	2
244	294	29	1
249	294	29	1
251	294	29	1
220	295	29	2
221	295	29	1
223	295	29	1
241	295	29	1
243	295	29	1
244	295	29	2
245	295	29	1
247	295	29	1
219	296	29	1
222	296	29	1
223	296	29	1
249	296	29	1
255	296	29	2
227	297	29	2
238	297	29	2
239	297	29	1
240	297	29	4
241	297	29	2
243	297	29	3
247	297	29	1
248	297	29	3
215	298	29	2
221	298	29	2
224	298	29	2
226	298	29	2
239	298	29	1
242	298	29	3
245	298	29	1
247	298	29	1
249	298	29	1
222	299	29	2
226	299	29	2
227	299	29	1
240	299	29	1
252	299	29	2
221	300	29	1
226	300	29	1
227	300	29	4
235	300	29	1
236	300	29	1
237	300	29	2
239	300	29	1
247	300	29	3
221	301	29	2
227	301	29	2
230	301	29	1
236	301	29	2
247	301	29	1
236	305	29	1
215	252	30	2
228	253	30	1
232	254	30	1
236	254	30	1
215	255	30	1
229	255	30	1
230	255	30	2
234	255	30	2
204	256	30	2
229	256	30	1
230	256	30	4
231	256	30	1
232	256	30	1
233	256	30	2
236	256	30	2
181	257	30	1
183	257	30	1
192	257	30	1
215	257	30	1
228	257	30	1
229	257	30	2
236	257	30	1
237	257	30	1
239	257	30	1
175	258	30	1
186	258	30	2
215	258	30	1
226	258	30	1
227	258	30	1
228	258	30	1
229	258	30	1
231	258	30	1
236	258	30	2
237	258	30	4
238	258	30	1
239	258	30	1
175	259	30	1
189	259	30	1
206	259	30	2
210	259	30	2
214	259	30	1
216	259	30	1
218	259	30	3
220	259	30	1
227	259	30	1
228	259	30	1
229	259	30	1
231	259	30	1
232	259	30	3
234	259	30	1
235	259	30	1
238	259	30	1
184	260	30	1
197	260	30	1
206	260	30	3
212	260	30	1
226	260	30	1
228	260	30	1
232	260	30	1
235	260	30	2
236	260	30	2
237	260	30	1
238	260	30	2
245	260	30	2
184	261	30	2
187	261	30	1
188	261	30	1
194	261	30	2
196	261	30	1
198	261	30	1
208	261	30	1
209	261	30	1
212	261	30	2
224	261	30	3
226	261	30	1
227	261	30	3
229	261	30	1
231	261	30	1
232	261	30	1
236	261	30	1
238	261	30	1
239	261	30	1
241	261	30	2
246	261	30	1
249	261	30	1
179	262	30	1
186	262	30	2
188	262	30	2
193	262	30	1
194	262	30	2
209	262	30	1
218	262	30	1
219	262	30	1
221	262	30	1
223	262	30	1
225	262	30	2
231	262	30	2
247	262	30	1
248	262	30	1
251	262	30	1
182	263	30	2
188	263	30	1
189	263	30	1
210	263	30	1
211	263	30	2
219	263	30	1
224	263	30	1
227	263	30	1
228	263	30	1
232	263	30	3
234	263	30	1
240	263	30	2
242	263	30	1
248	263	30	1
178	264	30	1
186	264	30	3
188	264	30	1
228	264	30	1
231	264	30	2
232	264	30	1
233	264	30	1
238	264	30	1
239	264	30	1
241	264	30	2
245	264	30	1
192	265	30	1
200	265	30	4
208	265	30	1
210	265	30	1
212	265	30	1
213	265	30	1
214	265	30	1
217	265	30	1
229	265	30	1
230	265	30	2
231	265	30	1
232	265	30	1
233	265	30	1
235	265	30	1
238	265	30	1
239	265	30	2
248	265	30	1
187	266	30	1
188	266	30	1
193	266	30	3
195	266	30	1
211	266	30	1
214	266	30	1
230	266	30	1
231	266	30	2
232	266	30	3
233	266	30	1
238	266	30	1
239.5	266.5	30.5	2
243	266	30	1
249	266	30	2
176	267	30	1
189	267	30	3
192	267	30	2
198	267	30	1
202	267	30	2
209	267	30	1
219	267	30	2
225	267	30	2
228	267	30	2
229	267	30	2
235	267	30	1
236	267	30	2
237	267	30	1
238	267	30	1
239	267	30	1
240	267	30	2
241	267	30	2
244	267	30	2
248	267	30	1
249	267	30	1
250	267	30	1
172	268	30	1
188	268	30	1
189	268	30	1
191	268	30	1
195	268	30	1
196	268	30	1
205	268	30	1
211	268	30	1
213	268	30	1
214	268	30	1
216	268	30	1
217	268	30	2
226	268	30	2
235	268	30	3
238	268	30	1
239	268	30	1
243	268	30	1
246	268	30	3
248	268	30	2
249	268	30	3
177	269	30	1
178	269	30	3
180	269	30	2
182	269	30	2
191	269	30	1
193	269	30	1
196	269	30	1
197	269	30	3
198	269	30	1
199	269	30	6
204	269	30	2
214	269	30	3
232	269	30	1
233	269	30	2
235	269	30	2
236	269	30	1
239	269	30	1
242	269	30	1
243	269	30	4
244	269	30	1
245	269	30	1
