x	y	z	Factors involved in megakaryocyte development and platelet production
210	265	30	2
211	265	30	1
224	265	30	3
229	265	30	1
232	265	30	1
233	265	30	1
238	265	30	1
247	265	30	1
184	266	30	1
188	266	30	3
226	266	30	1
228	266	30	1
229	266	30	2
230	266	30	2
231	266	30	1
232	266	30	1
239.5	266.5	30.5	1
241	266	30	1
247	266	30	1
249	266	30	2
194	267	30	1
198	267	30	2
199	267	30	1
202	267	30	2
208	267	30	1
209	267	30	1
228	267	30	1
229	267	30	1
231	267	30	1
235	267	30	1
236	267	30	1
237	267	30	1
241	267	30	1
244	267	30	1
246	267	30	1
172	268	30	1
188	268	30	1
196	268	30	1
207	268	30	1
226	268	30	1
228	268	30	1
235	268	30	1
237	268	30	1
239	268	30	1
241	268	30	2
244	268	30	1
248	268	30	1
249	268	30	1
250	268	30	1
172	269	30	1
177	269	30	2
180	269	30	2
182	269	30	1
196	269	30	2
197	269	30	1
198	269	30	1
199	269	30	1
213	269	30	1
216	269	30	1
222	269	30	1
232	269	30	2
236	269	30	1
237	269	30	1
238	269	30	1
239	269	30	1
244	269	30	1
245	269	30	1
249	269	30	2
250	269	30	2
252	269	30	2
181	270	30	1
184	270	30	1
187	270	30	1
196	270	30	1
198	270	30	1
201	270	30	3
214	270	30	1
215	270	30	1
216	270	30	1
223	270	30	1
231	270	30	2
232	270	30	1
234	270	30	2
235	270	30	1
238	270	30	1
244	270	30	2
245	270	30	1
249	270	30	1
250	270	30	1
175	271	30	1
176	271	30	2
181	271	30	1
188	271	30	1
193	271	30	1
198	271	30	1
207	271	30	2
212	271	30	1
215	271	30	2
216	271	30	1
229	271	30	1
232	271	30	1
234	271	30	1
239	271	30	2
244	271	30	2
180	272	30	1
181	272	30	1
184	272	30	1
206	272	30	1
216	272	30	2
224	272	30	1
227	272	30	1
236	272	30	2
242	272	30	1
247	272	30	3
250	272	30	1
181	273	30	1
211	273	30	1
232	273	30	1
233	273	30	1
234	273	30	2
235	273	30	1
240	273	30	1
177	274	30	1
182	274	30	1
183	274	30	1
209	274	30	4
211	274	30	1
212	274	30	1
233	274	30	1
234	274	30	1
236	274	30	1
238	274	30	1
239	274	30	2
179	275	30	1
182	275	30	1
183	275	30	1
184	275	30	2
185	275	30	1
203	275	30	1
211	275	30	2
215	275	30	1
233	275	30	1
235	275	30	1
236	275	30	1
239	275	30	1
242	275	30	2
244	275	30	2
250	275	30	1
251	275	30	1
179	276	30	2
235	276	30	1
239	276	30	1
240	276	30	1
246	276	30	2
248	276	30	1
249	276	30	1
250	276	30	2
253	276	30	2
174	277	30	1
206	277	30	1
235	277	30	1
239	277	30	3
241	277	30	1
245	277	30	1
250	277	30	1
251	277	30	2
201	278	30	2
206	278	30	1
208	278	30	1
226	278	30	1
230	278	30	3
235	278	30	1
236	278	30	1
237	278	30	1
239	278	30	2
243	278	30	1
247	278	30	2
250	278	30	2
253	278	30	1
207	279	30	1
219	279	30	1
221	279	30	2
240	279	30	1
241	279	30	1
244	279	30	1
245	279	30	1
247	279	30	2
252	279	30	2
176	280	30	1
219	280	30	1
236	280	30	1
241	280	30	2
242	280	30	1
245	280	30	3
248	280	30	2
249	280	30	1
251	280	30	1
179	281	30	2
181	281	30	1
214	281	30	2
218	281	30	1
223	281	30	1
224	281	30	1
233	281	30	1
235	281	30	3
239	281	30	1
240	281	30	1
243	281	30	1
244	281	30	1
245	281	30	1
246	281	30	2
247	281	30	2
249	281	30	3
254	281	30	1
172	282	30	1
179	282	30	2
181	282	30	1
229	282	30	2
233	282	30	2
235	282	30	1
236	282	30	2
237	282	30	1
238	282	30	1
239	282	30	1
240	282	30	2
241	282	30	3
245	282	30	1
247	282	30	1
250	282	30	1
252	282	30	1
254	282	30	1
256	282	30	1
179	283	30	1
205	283	30	1
215	283	30	1
219	283	30	1
221	283	30	1
240	283	30	2
241	283	30	1
246	283	30	1
250	283	30	2
252	283	30	1
257	283	30	1
226	284	30	1
230	284	30	1
241.666666666667	284.666666666667	31	1
242	284	30	1
243	284	30	1
251	284	30	1
252	284	30	1
254	284	30	2
256	284	30	2
206	285	30	3
211	285	30	1
227	285	30	3
234	285	30	1
242	285	30	1
248	285	30	1
256	285	30	1
205	286	30	1
219	286	30	1
222	286	30	1
224	286	30	1
225	286	30	1
227	286	30	1
228	286	30	1
234	286	30	1
240	286	30	2
241	286	30	1
244	286	30	1
246	286	30	1
249	286	30	1
251	286	30	1
252	286	30	1
255	286	30	1
256	286	30	1
207	287	30	2
222	287	30	1
225	287	30	3
231	287	30	3
237	287.5	30.5	2
238.5	287.5	30.5	1
250	287	30	1
252	287	30	1
255	287	30	2
199	288	30	2
231	288	30	2
233	288	30	1
234	288	30	1
