x	y	z	Cholesterol biosynthesis
243	287	27	1
248	287	27	1
250	287	27	1
252	287	27	2
211	288	27	1
214	288	27	1
224	288	27	1
228	288	27	1
231	288	27	2
234	288	27	1
235	288	27	1
238	288	27	1
247	288	27	3
251	288	27	1
253	288	27	1
209	289	27	1
224	289	27	1
230	289	27	1
231	289	27	1
232	289	27	2
233	289	27	1
234	289	27	1
235	289	27	2
237	289	27	1
238	289	27	1
241	289	27	1
249	289	27	2
254	289	27	1
219	290	27	1
221	290	27	2
230	290	27	1
234	290	27	1
235	290	27	3
239	290	27	2
240	290	27	1
243	290	27	1
246	290	27	2
247	290	27	1
249	290	27	1
253	290	27	1
213	291	27	1
222	291	27	1
224	291	27	1
225	291	27	1
227	291	27	1
234	291	27	2
237	291	27	2
238	291	27	1
241	291	27	1
242	291	27	1
246	291	27	2
247	291	27	1
248	291	27	2
251	291	27	1
252	291	27	3
211	292	27	1
222	292	27	1
224	292	27	1
225	292	27	1
226	292	27	2
227	292	27	1
239	292	27	1
241	292	27	1
249	292	27	1
253	292	27	1
254	292	27	1
211	293	27	1
221	293	27	2
237	293	27	1
240	293	27	1
245	293	27	1
251	293	27	1
253	293	27	1
219	294	27	1
224	294	27	1
231	294	27	1
235	294	27	3
236	294	27	2
238	294	27	3
244	294	27	1
246	294	27	1
251	294	27	2
252	294	27	2
253	294	27	1
211	295	27	1
223	295	27	1
226	295	27	2
243	295	27	1
246	295	27	1
247	295	27	1
248	295	27	1
250	295	27	2
236	296	27	2
240	296	27	4
244	296	27	1
245	296	27	1
255	296	27	1
236	297	27	1
240	297	27	1
242	297	27	1
253	297	27	2
226	298	27	1
239	298	27	1
244	298	27	1
247	298	27	1
248	298	27	1
226	299	27	1
229	299	27	1
236	299	27	1
239	299	27	2
240	299	27	1
241	299	27	1
242	299	27	1
243	299	27	1
245	299	27	1
246	299	27	1
247	299	27	1
226	300	27	1
227	300	27	1
228	300	27	1
231	300	27	2
235	300	27	2
239	300	27	1
240	300	27	1
242	300	27	1
244	300	27	1
247	300	27	3
248	300	27	1
224	301	27	1
237	301	27	1
240	301	27	1
245	301	27	1
247	301	27	1
226	302	27	1
235	302	27	1
236	302	27	1
237	302	27	1
238	302	27	2
239	302	27	1
236	304	27	1
237	305	27	1
230	262	28	1
232	266	28	1
234	267	28	1
236	267	28	1
235	268	28	1
236	270	28	1
232	272	28	2
233	272	28	2
236	272	28	1
234	274	28	1
235	275	28	1
233	276	28	1
235	276	28	2
238	276	28	1
237	277	28	1
236	278	28	1
237	278	28	1
248	279	28	2
235	280	28	1
241	280	28	1
251	280	28	1
235	281	28	1
248	281	28	2
250	281	28	1
252	281	28	1
246	282	28	1
249	282	28	1
254	283	28	1
235	284	28	1
246	284	28	1
238	285	28	2
240	285	28	2
245	285	28	1
248	285	28	2
235	286	28	1
249	286	28	2
244	287	28	1
242	288	28	3
244	288	28	2
245	288	28	1
227	289	28	1
228	289	28	2
243	289	28	1
245	289	28	1
247	289	28	1
249	289	28	2
253	289	28	1
242	290	28	1
244	290	28	1
226	291	28	1
239	291	28	1
241	291	28	1
247	291	28	1
249	291	28	1
241	292	28	1
245	292	28	1
248	292	28	1
250	292	28	1
240	293	28	1
250	294	28	2
240	295	28	1
241	295	28	1
242	295	28	1
248	295	28	1
245	297	28	1
240	298	28	1
236	300	28	2
235	256	29	1
230	257	29	1
181	258	29	1
190	258	29	1
228	258	29	1
233	258	29	2
182	259	29	2
229	259	29	1
238	259	29	2
181	260	29	1
187	261	29	1
199	261	29	1
226	261	29	1
230	261	29	2
220	262	29	1
248	262	29	1
231	263	29	1
234	263	29	1
229	264	29	1
232	264	29	3
237	264	29	1
238	264	29	2
235	265	29	1
238	265	29	1
178	266	29	1
197	266	29	2
234	266	29	1
236	266	29	1
245	266	29	1
248	266	29	2
197	267	29	1
226	267	29	1
230	267	29	1
231	267	29	1
234	267	29	1
235	267	29	1
236	267	29	1
194	268	29	2
201	268	29	1
235	268	29	1
180	269	29	1
193	269	29	1
234	269	29	1
237	269	29	2
240	269	29	3
196	270	29	1
200	270	29	1
234	270	29	1
250	270	29	1
173	271	29	1
182	271	29	1
204	271	29	1
229	271	29	2
237	271	29	5
238	271	29	2
241	271	29	1
214	272	29	1
224	272	29	1
235	272	29	1
236	272	29	2
211	273	29	1
212	273	29	1
249	273	29	1
180	274	29	1
206	274	29	1
232	274	29	2
234	274	29	1
247	274	29	1
250	274	29	1
184	275	29	1
231	275	29	1
232	275	29	1
236	275	29	3
238	275	29	1
240	275	29	1
241	275	29	2
242	275	29	2
245	275	29	1
204	276	29	1
228	276	29	1
232	276	29	1
233	276	29	2
234	276	29	1
237	276	29	1
250	276	29	2
205	277	29	1
237	277	29	1
238	277	29	1
247	277	29	1
236	278	29	1
238	278	29	1
247	279	29	1
249	279	29	1
256	279	29	1
233	280	29	1
234	280	29	1
251	280	29	1
252	280	29	1
214	281	29	1
224	281	29	2
232	281	29	1
241	281	29	2
243	281	29	1
206	282	29	1
212	282	29	2
242	282	29	1
250	282	29	1
254	282	29	3
209	283	29	1
215	283	29	2
231	283	29	1
232	283	29	1
234	283	29	1
237	283	29	1
241	283	29	2
245	283	29	1
251	283	29	1
222	284	29	2
233	284	29	1
236	284	29	1
237	284	29	1
238	284	29	3
241	284	29	1
243	284	29	1
249	284	29	1
227	285	29	1
234	285	29	1
236	285	29	1
238	285	29	1
239	285	29	1
240	285	29	1
246	285	29	1
253	285	29	1
235	286	29	1
241	286	29	2
242	286	29	1
243	286	29	1
249	286	29	1
225	287	29	1
226	287	29	1
228	287	29	2
231	287	29	1
234	287	29	1
240	287	29	1
234	288	29	1
235	288	29	1
236	288	29	1
243	288	29	1
246	288	29	1
227	289	29	1
234	289	29	1
235	289	29	1
247	289	29	1
250	289	29	2
224	290	29	1
225	290	29	1
230	290	29	1
239	290	29	1
240	290	29	1
242	290	29	1
245	290	29	2
246	290	29	1
226	291	29	2
239	291	29	1
241	291	29	3
249	291	29	4
251	291	29	1
222	292	29	1
237	292	29	2
239	292	29	1
241	292	29	1
247	292	29	1
249	292	29	2
222	293	29	1
223	293	29	1
225	293	29	1
