x	y	z	Calmodulin induced events
239	297	28	1
225	300	28	1
229	255	29	1
234	256	29	1
228	258	29	1
237	258	29	1
230	259	29	3
183	261	29	1
187	261	29	1
199	261	29	1
226	261	29	1
221	262	29	1
229	262	29	1
231	263	29	1
234	263	29	1
215	264	29	1
226	264	29	1
231	264	29	1
245	264	29	1
248	264	29	2
215	265	29	1
235	265	29	1
239	265	29	1
226	266	29	1
228	266	29	1
236	266	29	1
245	266	29	1
248	266	29	1
250	266	29	1
193	267	29	1
196	267	29	1
230	267	29	1
236	267	29	1
241	267	29	1
194	268	29	1
236	268	29	1
196	269	29	1
204	269	29	2
234	269	29	1
249	269	29	1
196	270	29	3
200	270	29	1
227	270	29	1
230	270	29	1
231	270	29	1
232	270	29	1
173	271	29	1
214	271	29	1
215	271	29	1
229	271	29	1
235	271	29	1
240	271	29	1
211	272	29	1
232	272	29	1
233	272	29	1
235	272	29	1
249	272	29	1
182	273	29	2
180	274	29	1
232	274	29	1
234	274	29	3
235	274	29	1
247	274	29	1
238	275	29	1
234	276	29	1
236	276	29	1
238	276	29	2
240	276	29	1
249	276	29	1
205	277	29	1
240	277	29	1
250	277	29	1
235	278	29	1
236	279	29	1
247	279	29	1
248	279	29	1
238	280	29	1
241	280	29	1
250	280	29	2
252	280	29	1
214	281	29	1
234	281	29	1
243	281	29	1
248	281	29	1
251	281	29	1
206	282	29	1
212	282	29	1
235	282	29	1
242	282	29	1
249	282	29	2
215	283	29	2
231	283	29	2
232	283	29	1
237	283	29	1
239	283	29	1
248	283	29	1
249	283	29	1
222	284	29	1
233	284	29	1
242	284	29	1
243	284	29	1
255	284	29	1
256	284	29	1
227	285	29	1
239	285	29	1
240	285	29	1
247	285	29	1
234	286	29	1
235	286	29	2
241	286	29	1
252	286	29	1
225	287	29	1
233	287	29	1
241	287	29	2
246	287	29	2
247	287	29	2
224	288	29	2
235	288	29	1
240	288	29	1
241	288	29	1
244	288	29	1
249	288	29	1
228	289	29	2
237	289	29	1
247	289	29	1
225	290	29	1
226	290	29	1
227	290	29	1
240	290	29	1
222	291	29	1
225	291	29	1
238	291	29	1
251	291	29	1
225	292	29	1
227	292	29	1
236	292	29	1
239	292	29	1
242	292	29	1
245	292	29	1
249	292	29	1
223	293	29	1
225	293	29	2
242	293	29	1
253	293	29	1
240	294	29	1
244	294	29	1
248	294	29	2
220	295	29	1
241	295	29	1
243	295	29	1
245	295	29	1
252	296	29	1
238	297	29	1
239	297	29	1
240	297	29	1
241	297	29	1
245	297	29	1
246	297	29	1
224	298	29	1
238	298	29	1
247	298	29	1
248	298	29	1
249	298	29	1
221	299	29	1
222	299	29	1
227	299	29	1
226	300	29	1
239	300	29	1
221	301	29	1
225	301	29	1
224	302	29	1
240	303	29	2
236	305	29	1
233	252	30	2
231	253	30	1
232	253	30	2
237	253	30	2
231	254	30	1
232	254	30	2
233	254	30	1
235	254	30	1
236	254	30	1
191	255	30	1
215	255	30	1
230	255	30	2
236	255	30	2
237	255	30	2
229	256	30	1
231	256	30	1
233	256	30	1
190	257	30	1
227	257	30	1
229	257	30	1
240	257	30	1
203	258	30	1
215	258	30	2
228	258	30	1
175	259	30	1
214	259	30	1
218	259	30	1
232	259	30	2
234	259	30	2
235	259	30	1
190	260	30	1
196	260	30	1
212	260	30	1
226	260	30	1
227	260	30	1
228	260	30	1
232	260	30	1
239	260	30	1
184	261	30	2
188	261	30	1
196	261	30	1
216	261	30	1
224	261	30	1
225	261	30	2
227	261	30	1
230	261	30	1
238	261	30	1
241	261	30	1
178	262	30	1
194	262	30	1
216	262	30	1
218	262	30	1
222	262	30	1
225	262	30	1
247	262	30	1
249	262	30	1
189	263	30	1
193	263	30	1
211	263	30	1
216	263	30	2
218	263	30	1
227	263	30	1
228	263	30	1
230	263	30	1
232	263	30	1
233	263	30	1
246	263	30	1
248	263	30	1
178	264	30	1
236	264	30	3
245	264	30	1
246	264	30	2
250	264	30	1
193	265	30	1
211	265	30	2
214	265	30	1
219	265	30	1
224	265	30	1
229	265	30	1
230	265	30	1
231	265	30	1
233	265	30	1
235	265	30	2
184	266	30	1
194	266	30	2
211	266	30	2
215	266	30	1
226	266	30	2
230	266	30	1
240	266	30	1
176	267	30	1
183	267	30	2
196	267	30	1
225	267	30	1
228	267	30	1
229	267	30	2
235	267	30	1
238	267	30	1
241	267	30	1
244	267	30	2
245	267	30	1
248	267	30	3
196	268	30	2
207	268	30	1
216	268	30	1
230	268	30	1
231	268	30	1
237	268	30	1
238	268	30	1
246	268	30	1
249	268	30	1
250	268	30	1
172	269	30	1
177	269	30	1
178	269	30	1
180	269	30	2
193	269	30	2
196	269	30	1
197	269	30	1
213	269	30	1
219	269	30	1
235	269	30	1
236	269	30	1
237	269	30	1
248	269	30	1
184	270	30	2
187	270	30	3
195	270	30	2
196	270	30	1
233	270	30	2
234	270	30	1
235	270	30	1
