x	y	z	SUMOylation of DNA replication proteins
249	270	31	1
172	271	31	2
178	271	31	1
199	271	31	1
210	271	31	1
212	271	31	1
213	271	31	1
215	271	31	2
231	271	31	1
233	271	31	1
235	271	31	1
238	271	31	2
240	271	31	1
247	271	31	1
251	271	31	1
185	272	31	2
208	272	31	2
230	272	31	1
235	272	31	1
238	272	31	1
241	272	31	2
251	272	31	1
254	272	31	1
181	273	31	1
209	273	31	1
235	273	31	1
236	273	31	1
237	273	31	1
180	274	31	3
185	274	31	1
205	274	31	1
209	274	31	1
213	274	31	1
225	274	31	2
226	274	31	1
237	274	31	1
239	274	31	1
250	274	31	1
252	274	31	1
211	275	31	1
235	275	31	1
238	275	31	1
250	275	31	1
198	276	31	1
237	276	31	1
239	276	31	1
240	276	31	1
241	276	31	2
246	276	31	1
253	276	31	1
205	277	31	1
236	277	31	2
238	277	31	1
244	277	31	1
249	277	31	1
208	278	31	1
237	278	31	1
242	278	31	1
243	278	31	1
245	278	31	2
246	278	31	2
178	279	31	1
207	279	31	1
234	279	31	1
236	279	31	1
243	279	31	2
175	280	31	1
181	280	31	1
205	280	31	2
208	280	31	1
219	280	31	1
220	280	31	1
221	280	31	1
235	280	31	1
238	280	31	1
245	280	31	2
247	280	31	1
251	280	31	1
184	281	31	2
210	281	31	2
220	281	31	1
237	281	31	1
240	281	31	1
244	281	31	1
248	281	31	1
173	282	31	1
180	282	31	1
250	282	31	1
252	282	31	1
182	283	31	1
184	283	31	1
209	283	31	2
221	283	31	1
233	283	31	1
235	283	31	1
239	283	31	2
241	283	31	2
243	283	31	1
175	284	31	1
176	284	31	1
179	284	31	1
181	284	31	2
209	284	31	3
222	284	31	1
223	284	31	1
235	284	31	1
243	284	31	1
244	284	31	1
254	284	31	1
178	285	31	1
218	285	31	1
229	285	31	1
231	285	31	1
235	285	31	1
252	285	31	1
255	285	31	1
256	285	31	1
218	286	31	1
222	286	31	1
231	286	31	1
240	286	31	1
219	287	31	1
224	287	31	2
229	287	31	1
230	287	31	1
231	287	31	1
237	287	31	1
238	287	31	1
241	287	31	1
243	287	31	1
246	287	31	2
252	287	31	1
253	287	31	2
221	288	31	1
228	288	31	3
240.5	288.5	31.5	2
241	288	31	1
242	288	31	1
246	288	31	1
247	288	31	2
253	288	31	1
205	289	31	1
224	289	31	1
226	289	31	2
228	289	31	2
232	289	31	1
233	289	31	1
237	289	31	1
238	289	31	1
242	289	31	1
245	289	31	1
246	289	31	1
200	290	31	2
222	290	31	1
230	290	31	1
231	290	31	1
232	290	31	1
239	290	31	2
240	290	31	1
199	291	31	1
226	291	31	1
227	291	31	1
237	291	31	1
240	291	31	1
249	291	31	1
197	292	31	2
198	292	31	2
199	292	31	2
236	292	31	1
250	292	31	1
252	292	31	1
198	293	31	1
223	293	31	1
228	293	31	1
237	293	31	1
251	293	31	1
253	293	31	1
209	294	31	1
220	294	31	1
221	294	31	1
222	294	31	1
224	294	31	2
230	294	31	1
235	294	31	1
246	294	31	2
198	295	31	1
202	295	31	1
223	295	31	1
228	295	31	1
229	295	31	1
231	295	31	1
235	295	31	1
240	295	31	1
241	295	31	1
242	295	31	1
243	295	31	1
244	295	31	2
247	295	31	1
249	295	31	1
252	295	31	1
197	296	31	1
222	296	31	1
223	296	31	1
242	296	31	1
246	296	31	1
247	296	31	1
248	296	31	1
250	296	31	2
252	296	31	1
223	297	31	1
225	297	31	2
231	297	31	1
234	297	31	1
236	297	31	1
241	297	31	1
242	297	31	1
243	297	31	1
248	297	31	1
205	298	31	2
224	298	31	1
232	298	31	1
239	298	31	1
240	298	31	1
245	298	31	2
247	298	31	1
249	298	31	2
250	298	31	1
251	298	31	1
240	299	31	1
245	299	31	1
218	300	31	1
227	300	31	3
228	300	31	1
241	300	31	1
248	300	31	1
249	300	31	1
250	300	31	1
221	301	31	1
226	301	31	1
237	301	31	1
242	301	31	2
242	302	31	1
244	302	31	1
223	303	31	1
224	303	31	1
231	303	31	1
236	303	31	1
246	303	31	1
235	304	31	1
244	304	31	2
225	305	31	1
235	305	31	2
237	305	31	1
223	307	31	1
223	308	31	1
226	250	32	1
215	251	32	1
227	251	32	1
228	251	32	1
214	252	32	1
217	252	32	1
227	252	32	1
193	253	32	1
221	253	32	2
223	253	32	1
224	253	32	1
232	253	32	1
225	254	32	1
227	254	32	2
228	254	32	1
239	254	32	1
188	255	32	1
215	255	32	1
216	255	32	1
219	255	32	1
226	255	32	1
228	255	32	1
236	255	32	1
238	255	32	3
177	256	32	1
234	256	32	1
240	256	32	1
195	257	32	2
221	257	32	1
230	257	32	1
182	258	32	1
190	258	32	2
193	258	32	2
216	258	32	1
220	258	32	1
226	258	32	1
228	258	32	1
230	258	32	1
231	258	32	2
235	258	32	1
246	258	32	1
191	259	32	2
193	259	32	3
201	259	32	2
207	259	32	2
209	259	32	1
213	259	32	1
219	259	32	1
220	259	32	2
222	259	32	1
227	259	32	1
228	259	32	1
231	259	32	1
240	259	32	1
